Jurisdicción,CUE Anexo,Nombre,Sector,Ámbito,Domicilio,CP,Código de área,Teléfono,Fecha alta,Cant. Alumnos,Asignación parcial ($),Asignación final ($),Promedio nota alumnos
Santiago del Estero,860130803,AGRUPAMIENTO Nº 86051 ESC Nº 1073,Estatal,Rural,   ANCAJAN,G4200,,,21279,2188,0,0,5
Río Negro,620045300,ESCUELA PRIMARIA NRO. 46 ALMIRANTE GUILLERMO BROWN,Estatal,Rural,LOS CEREZOS 740  PROYECTO JORNADA EXTENDIDA,R8138,2931,432340,23366,4376,0,0,8
Santa Fe,820355100,TALLER DE EDUCACION MANUAL NRO 110 11 DE SEPTIEMBRE,Estatal,Urbano,ITUZAINGO 1814 CANDIOTI ,S3000,342,4577066,31992,3464,0,0,10
Tucumán,900091600,ESC. N° 201 - DON JUAN GREGORIO JUAREZ,Estatal,Rural,Camino Vecinal   BUENA VISTA,T4172,0,3814637795,26149,2662,0,0,9
Buenos Aires,860130803,INSTITUTO SENDEROS AZULES,Privado,Urbano,FERNANDO DE TORO Y CHIMONDEGUI 445  ,1842,11,4296-3426,24171,1603,0,0,8
Entre Ríos,300142200,GRANADEROS DE SAN MARTIN 6,Estatal,Urbano,DON BOSCO 278  ,E3229,3456,491056,20778,3018,0,0,5
Salta,660112800,JUAN BACHIR GERALA EX N° 898,Estatal,Rural,PARAJE  LA ENTRADA   ,A4554,s/n,s/n,18817,3564,0,0,10
Mendoza,500138200,ESCUELA SUPERIOR DE PSICOLOGIA SOCIAL MENDOZA ENRIQUE P.RIVIERE,Privado,Urbano,EUSEBIO BLANCO 574  ,M5500,261,423-5813,24409,3830,0,0,7
Corrientes,180006602,EXTENSION AULICA QUE FUNCIONA EN LA ESCUELA Nº 586 (COL.SEC.JOSE MA.OBREGON),Estatal,Rural,   ,,1,1,19594,2268,0,0,8
Salta,660024800,MONSEÑOR FRANCISCO DE LA CRUZ MUGUERZA EX N° 374,Estatal,Rural,CALLE CELSO TESTA - R.NAC.N° 34 S/Nº  PARAJE CAPIAZUTI NUEVO - AGUARAY,A4566,3873,606386,27940,2247,0,0,3
"Río Negro,620006600,ESCUELA PRIMARIA NRO.167 LA AMPARO,Estatal,Urbano,CALLE NRO.2 KM. 4;5   PROYECTO DE JORNADA EXTENDIDA,R8326,298,4491140,33189,3558,0,0,4"
Neuquén,580089000,INSTITUTO DE FORMACIÓN DOCENTE 12 GRAL JOSÉ DE SAN MARTÍN NIVEL PRIMARIO,Estatal,Urbano,ARGENTINA AV 935 CENTRO ESTE ,8300,299,4424824,20306,2232,0,0,5
San Luis,820355100,JARDIN DE INFANTES N° 4 ROSARIO VERA PEÑALOZA,Estatal,Urbano,AV.CENTENARIO (ESTE) 120 PUEBLO NUEVO ESQUINA SARMIENTO,D5700,,02652-428659,22899,1571,0,0,10
Formosa,340058600,EPEP Nº259 CAPITAN DE FRAGATA SERGIO RAUL GOMEZ ROCA,Estatal,Rural,AV. 9 DE JULIO S/N   ,P3636,,C.P.0711-20188,25073,1711,0,0,4
Mendoza,500217300,ELIANA MOLINELLI,Estatal,Urbano,MOISES TUBERT 110 JORGE NEWBERY ,M5539,,4512640,29345,1815,0,0,7
San Juan,700016201,NOCTURNA SOLDADOS DE MALVINAS ANEXO BARRIO FORTABAT,Estatal,Urbano,LAVALLE S/N  FORTABAT B°FORTABAT,J5400,264,4307837,22725,3001,0,0,7
Santiago del Estero,860208600,JARDIN MUNICIPAL N° 19 ZAIDA TEJEDA DE VILLAVERDE,Estatal,Urbano,  AMPLIACION 1°JUNTA LA BANDA,G4500,,,20469,2496,0,0,4
Chaco,220035101,E.E.P. Nº  519 -CELSO PAEZ-,Estatal,Urbano,   ASOC.COMUNITARIA-POZO DEL TORO,H3705,,,22478,1555,0,0,6
Santa Fe,820101500,JARDIN DE INFANTES NRO 40 EMMA SCHENNA DE MAZZA,Estatal,Urbano,SAN MARTIN 1361 CENTRICO ,S2630,3465,423414,34889,1923,0,0,6
Buenos Aires,60111500,ESCUELA DE EDUCACIÓN PRIMARIA Nº16 MARCELINO UGARTE,Estatal,Urbano,ANCHORENA ESQ. CATAMARCA 901  LA LUCILA,1636,11,4790-5047,31069,2533,0,0,7
Santa Fe,820398600,JARDIN DE INFANTES NRO 220 ROSA JUANA BOCCA,Estatal,Urbano,GOBERNADOR IRIONDO 3233  ,S3040,3498,425530,33462,4630,0,0,9
Tucumán,700016201,JARDIN MATERNO INFANTIL MIMITOS,Privado,Urbano,CORRIENTES 26  ,4105,0,(381)6983677,24717,4776,0,0,10
Ciudad de Buenos Aires,20038000,TOMAS SANTA COLOMA,Estatal,Urbano,SANTANDER 1150 PARQUE CHACABUCO ,C1424,11,4921-9687,18751,4027,0,0,7
Formosa,340063800,EPEP Nº 177,Estatal,Rural,   COSTA RIACHO ALAZAN,P3601,,,20257,2599,0,0,6
Neuquén,580016000,ESCUELA DIOCESANA PADRE ADOLFO FERNÁNDEZ,Privado,Urbano,LEGUIZAMON ONESIMO 1550 VILLA MARIA ,8300,299,4423534,32757,3272,0,0,9
Santa Fe,820252703,GRADO RADIAL NRO III - ESCUELA NOCTURNA NRO 33,Estatal,Urbano,SERVANDO BAYO 1808 BELLA VISTA ,S2000,341,4725529,20077,4142,0,0,5
Córdoba,140060600,J.DE INF. REMEDIOS ESCALADA DE SAN MARTIN,Estatal,Rural,LIBERTAD Y SAN MARTIN   SUCO,X5837,358,4280587,29436,3984,0,0,5
Misiones,540076600,ESC. Nº 182: FRAGATA SARMIENTO,Estatal,Rural,RUTA PROV. Nº 103-LOTE 65   COLONIA MARTIRES,N3318,3755,15681500,23692,4245,0,0,4
Catamarca,100023800,ESCUELA N° 74  DR.ARTURO M.BAS,Estatal,Rural,   CASA DE PIEDRA- KM 62,K5263,,,25635,3508,0,0,7
Córdoba,140072000,J.DE INF. MARIA JOSEFA G. DE BELGRANO Y PERI,Estatal,Urbano,JERONIMO LUIS DE CABRERA 451 LOS ALGARROBOS DEAN FUNES,X5200,3521,426211,31931,3046,0,0,8
